Rank	Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
1	岩手県	薮川	33	1078	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1078&year=&month=&day=&view=	平年日最低気温(℃)	0.6	-13.2	-13.0	-8.3	-2.1	3.5	9.1	14.7	15.3	10.3	2.5	-3.3	-8.7
2	長野県	菅平	48	0992	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=48&block_no=0992&year=&month=&day=&view=	平年日最低気温(℃)	1.1	-13.0	-12.6	-7.9	-1.3	4.4	9.8	14.8	15.3	11.2	4.1	-2.4	-8.7
3	岩手県	区界	33	1447	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=1447&year=&month=&day=&view=	平年日最低気温(℃)	1.7	-11.2	-10.8	-7.1	-0.9	4.7	9.7	15.3	15.8	11.1	3.5	-2.1	-7.4
4	岐阜県	六厩	52	1305	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=52&block_no=1305&year=&month=&day=&view=	平年日最低気温(℃)	1.7	-11.3	-11.4	-7.1	-1.6	3.9	10.1	15.4	16.0	11.6	4.2	-2.0	-7.4
5	長野県	野辺山	48	0415	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=48&block_no=0415&year=&month=&day=&view=	平年日最低気温(℃)	1.8	-12.2	-11.4	-6.4	-0.6	4.9	10.2	15.0	15.5	11.4	4.4	-1.8	-7.9
604	沖縄県	北大東	91	1517	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=91&block_no=1517&year=&month=&day=&view=	平年日最低気温(℃)	21.8	16.2	16.5	17.5	19.5	22.3	25.2	26.9	27.0	26.3	24.5	21.8	18.2
605	沖縄県	伊原間	91	1145	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=91&block_no=1145&year=&month=&day=&view=	平年日最低気温(℃)	22.0	16.5	16.8	18.2	20.8	23.3	25.7	26.8	26.5	25.5	23.7	21.4	18.3
606	沖縄県	仲筋	91	1491	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=91&block_no=1491&year=&month=&day=&view=	平年日最低気温(℃)	22.0	16.3	17.0	17.8	20.3	23.3	26.1	27.2	26.7	25.7	23.9	21.5	17.9
607	沖縄県	所野	91	1493	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=91&block_no=1493&year=&month=&day=&view=	平年日最低気温(℃)	22.1	16.7	17.4	18.3	20.7	23.6	26.1	27.0	26.5	25.7	23.9	21.5	18.1
608	沖縄県	波照間	91	1354	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=91&block_no=1354&year=&month=&day=&view=	平年日最低気温(℃)	22.3	17.0	17.4	18.7	21.0	23.5	26.0	26.8	26.5	25.5	23.9	21.7	18.7
