Rank	Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
1	兵庫県	家島	63	0624	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=63&block_no=0624&year=&month=&day=&view=	平年日照時間(時間)	2298.9	174.0	163.6	195.7	212.8	220.4	176.1	208.0	246.7	178.0	185.3	167.4	170.9
2	愛知県	豊橋	51	0470	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=51&block_no=0470&year=&month=&day=&view=	平年日照時間(時間)	2293.8	197.8	178.4	210.2	207.9	223.7	161.8	186.6	236.8	171.1	166.1	170.0	183.4
3	高知県	安芸	74	0755	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=74&block_no=0755&year=&month=&day=&view=	平年日照時間(時間)	2260.9	193.0	181.0	197.5	202.9	203.3	137.8	194.6	232.9	170.0	183.1	175.0	189.9
4	山口県	安下庄	81	0779	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=81&block_no=0779&year=&month=&day=&view=	平年日照時間(時間)	2256.1	161.3	157.0	187.3	209.2	225.5	171.4	206.5	243.8	179.6	186.2	166.0	160.4
5	広島県	呉市蒲刈	67	1606	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=67&block_no=1606&year=&month=&day=&view=	平年日照時間(時間)	2253.5	174.6	157.7	198.5	208.0	236.3	164.7	189.4	242.2	174.5	183.9	165.7	157.5
532	山形県	大井沢	35	1292	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=1292&year=&month=&day=&view=	平年日照時間(時間)	1263.7	26.4	46.1	94.6	155.8	195.9	151.1	123.2	143.4	109.7	108.2	75.9	35.8
533	福島県	鷲倉	36	1116	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=36&block_no=1116&year=&month=&day=&view=	平年日照時間(時間)	1260.7	38.8	60.6	108.3	156.9	178.8	125.3	106.0	139.3	106.9	110.7	86.4	48.8
534	福島県	桧原	36	1282	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=36&block_no=1282&year=&month=&day=&view=	平年日照時間(時間)	1256.1	42.9	53.3	92.7	143.1	166.6	134.1	112.6	151.5	115.8	108.1	82.3	53.1
535	山形県	肘折	35	1125	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=1125&year=&month=&day=&view=	平年日照時間(時間)	1223.5	20.7	37.7	75.9	149.5	191.4	150.0	119.6	153.7	115.4	103.7	74.5	31.3
536	青森県	酸ケ湯	31	1079	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1079&year=&month=&day=&view=	平年日照時間(時間)	1069.4	11.8	22.5	53.5	112.9	176.4	158.4	117.8	128.4	115.0	104.3	52.9	16.8
