Rank	Prefecture	年間	01	02	03	04	05	06	07	08	09	10	11	12	Municipality	URL
1	沖縄県	23.3	17.5	18.0	19.2	21.6	24.4	27.1	28.6	28.5	27.5	25.3	22.6	19.3	全域	""
2	鹿児島県	18.6	9.7	10.6	13.1	16.8	20.4	23.5	27.0	27.4	25.2	21.0	16.3	11.6	全域	""
3	長崎県	16.6	6.7	7.6	10.5	14.6	18.6	21.8	25.8	27.1	23.9	19.3	14.2	8.9	全域	""
4	東京都	16.2	6.3	7.0	9.9	14.3	18.6	21.5	25.2	26.6	23.5	18.6	13.7	8.8	全域	""
5	福岡県	16.2	5.6	6.5	9.7	14.4	19.1	22.7	26.6	27.5	23.8	18.5	12.9	7.6	全域	""
42	福島県	11.0	-0.5	-0.0	3.2	8.8	14.5	18.3	22.1	23.2	19.2	13.2	7.2	2.1	全域	""
43	秋田県	10.6	-1.1	-0.7	2.3	8.2	14.2	18.6	22.4	23.6	19.4	12.8	6.6	1.2	全域	""
44	長野県	10.2	-2.1	-1.3	2.6	8.7	14.3	18.1	21.9	22.8	18.6	12.3	6.1	0.7	全域	""
45	岩手県	10.0	-1.8	-1.2	2.3	8.0	13.7	17.5	21.3	22.5	18.6	12.2	6.1	0.7	全域	""
46	青森県	9.6	-1.7	-1.3	1.8	7.3	12.6	16.4	20.5	22.1	18.5	12.4	6.3	0.6	全域	""
