Rank	Prefecture	年間	01	02	03	04	05	06	07	08	09	10	11	12	Municipality	URL
1	岩手県	0.6	-13.2	-13.0	-8.3	-2.1	3.5	9.1	14.7	15.3	10.3	2.5	-3.3	-8.7	全域	""
2	長野県	1.1	-13.0	-12.6	-7.9	-1.3	4.3	9.8	14.8	15.2	11.0	3.9	-2.4	-8.7	全域	""
3	岐阜県	1.7	-11.3	-11.4	-7.1	-1.6	3.9	10.1	15.4	16.0	11.6	4.2	-2.0	-7.4	全域	""
4	青森県	1.9	-10.0	-9.8	-6.8	-0.8	5.1	9.8	14.6	15.3	10.7	4.2	-2.0	-7.6	全域	""
5	栃木県	2.6	-9.4	-9.1	-5.2	-0.1	5.1	10.4	15.0	15.7	11.7	4.8	-1.4	-6.0	全域	""
42	福岡県	10.5	-0.5	0.3	3.3	7.8	12.7	17.9	22.2	22.5	18.7	12.5	6.6	1.4	全域	""
43	佐賀県	10.7	0.2	0.7	3.6	8.0	12.8	18.0	22.5	22.8	18.7	12.3	6.8	1.9	全域	""
44	神奈川県	11.1	-0.6	0.3	3.9	8.8	13.8	18.0	22.0	23.0	19.6	14.0	7.7	1.9	全域	""
45	長崎県	12.8	2.6	3.5	6.2	9.9	14.3	18.4	22.5	23.9	20.4	15.4	10.0	4.5	全域	""
46	沖縄県	18.8	12.7	12.7	14.1	16.5	19.5	22.9	24.7	24.7	23.6	21.3	18.2	14.6	全域	""
