Rank	Prefecture	年間	01	02	03	04	05	06	07	08	09	10	11	12	Municipality	URL
1	沖縄県	27.2	21.5	22.2	23.8	26.1	28.9	31.5	32.5	32.0	31.2	29.1	26.5	22.9	全域	""
2	鹿児島県	25.5	19.1	19.8	21.1	23.3	26.0	28.8	32.1	32.9	30.8	27.9	24.6	20.9	全域	""
3	宮崎県	22.6	13.3	14.5	17.2	21.4	25.3	27.0	31.5	32.3	29.4	25.3	20.4	15.4	全域	""
4	熊本県	22.1	11.0	12.5	16.3	21.5	26.0	28.0	31.6	33.2	30.1	25.0	18.8	13.4	全域	""
5	高知県	22.1	12.3	13.1	16.3	21.1	25.2	27.4	31.6	32.7	29.4	24.8	19.7	14.5	全域	""
42	宮城県	17.4	6.2	6.9	10.8	16.4	21.5	24.2	27.3	29.2	25.7	20.0	14.5	8.9	全域	""
43	山形県	17.1	5.1	5.5	9.1	15.7	22.3	26.0	28.5	30.2	26.0	20.0	13.9	8.4	全域	""
44	岩手県	16.8	5.9	6.3	10.1	16.0	21.5	25.1	27.9	29.3	25.3	19.4	14.3	8.6	全域	""
45	秋田県	16.4	5.1	5.4	8.4	15.0	21.3	25.2	28.3	30.0	25.7	19.6	13.8	8.2	全域	""
46	青森県	15.7	2.4	3.5	7.8	14.9	20.8	23.9	27.4	28.8	24.9	18.6	11.8	5.0	全域	""
