Rank	Prefecture	年間	01	02	03	04	05	06	07	08	09	10	11	12	Municipality	URL
1	愛知県	2156.6	175.9	171.2	199.1	201.5	209.3	151.0	173.6	216.6	162.4	164.2	164.3	167.1	全域	""
2	山梨県	2069.0	190.6	178.7	186.6	196.6	197.2	142.6	159.5	191.6	138.2	143.2	162.7	178.9	全域	""
3	静岡県	2060.1	192.4	179.0	183.7	188.9	185.6	128.3	151.2	193.9	149.0	155.4	166.1	185.8	全域	""
4	三重県	2050.9	172.7	161.6	186.8	192.7	193.2	138.7	168.5	202.6	149.0	153.9	159.2	172.4	全域	""
5	高知県	2034.6	165.0	160.6	183.3	193.6	194.1	129.7	173.8	197.7	150.6	168.5	154.8	160.8	全域	""
42	青森県	1577.9	59.3	78.3	135.0	182.4	198.3	169.3	142.8	162.4	154.0	144.3	92.7	61.5	全域	""
43	富山県	1560.6	56.5	82.1	130.2	172.4	198.2	146.8	145.5	193.1	134.2	135.5	99.3	63.0	全域	""
44	新潟県	1535.9	44.0	66.8	118.5	171.1	200.7	163.9	152.3	195.2	142.0	130.7	91.9	54.4	全域	""
45	山形県	1492.3	41.7	63.0	116.8	170.1	200.1	172.8	148.0	183.4	140.4	124.1	85.9	46.2	全域	""
46	秋田県	1465.2	36.5	57.6	109.2	163.8	189.0	175.5	148.2	179.5	148.7	131.3	82.9	43.1	全域	""
