Rank	Prefecture	年間	01	02	03	04	05	06	07	08	09	10	11	12	Municipality	URL
1	高知県	2989.3	77.6	115.1	184.8	228.8	271.3	398.1	404.4	393.5	443.2	239.1	132.1	96.5	全域	""
2	宮崎県	2871.1	73.4	112.0	161.3	191.9	236.1	555.5	434.5	341.6	381.6	184.4	102.4	80.9	全域	""
3	富山県	2635.8	276.6	185.3	186.4	152.6	140.8	185.4	277.4	223.2	236.0	205.7	248.1	318.1	全域	""
4	鹿児島県	2631.2	97.4	126.2	180.1	210.0	244.5	562.7	349.2	237.5	266.8	146.2	129.0	103.3	全域	""
5	静岡県	2508.2	81.0	112.6	206.8	229.3	228.8	285.6	321.4	221.0	324.3	262.0	144.8	85.6	全域	""
42	大阪府	1382.3	48.5	62.8	103.4	102.2	135.5	179.5	183.9	126.7	160.8	146.4	75.6	57.3	全域	""
43	青森県	1380.2	99.1	79.1	79.6	81.7	90.8	95.6	144.7	175.3	163.9	136.8	127.1	121.7	全域	""
44	岩手県	1373.0	60.7	53.5	86.0	92.7	107.2	126.1	185.0	180.3	176.7	139.6	85.5	80.6	全域	""
45	宮城県	1373.0	58.1	43.4	84.4	101.0	113.4	139.4	181.9	161.7	192.6	161.9	69.6	67.1	全域	""
46	香川県	1303.8	40.4	48.6	80.7	80.7	114.0	167.7	178.4	139.5	202.3	135.0	63.7	53.8	全域	""
