Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
青森県	野辺地	31	0162	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0162&year=&month=&day=&view=	平年平均気温(℃)	10.0	-0.7	-0.5	2.6	7.3	12.4	16.0	20.4	22.1	19.1	13.2	7.3	1.6
青森県	弘前	31	0166	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0166&year=&month=&day=&view=	平年平均気温(℃)	10.6	-1.5	-1.0	2.3	8.6	14.3	18.3	22.3	23.5	19.4	12.9	6.5	0.8
青森県	蟹田	31	0160	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0160&year=&month=&day=&view=	平年平均気温(℃)	9.6	-1.4	-1.0	2.0	7.2	12.1	16.0	20.3	22.2	18.7	12.2	6.2	0.7
青森県	五所川原	31	0164	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0164&year=&month=&day=&view=	平年平均気温(℃)	10.6	-1.1	-0.7	2.5	8.5	14.1	18.0	22.0	23.4	19.5	13.1	6.9	1.3
青森県	三沢	31	0169	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0169&year=&month=&day=&view=	平年平均気温(℃)	10.2	-1.1	-0.6	2.8	8.3	13.2	16.3	20.3	22.2	19.2	13.3	7.0	1.2
青森県	休屋	31	0177	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0177&year=&month=&day=&view=	平年平均気温(℃)	8.0	-3.7	-3.3	-0.3	5.2	11.2	15.5	19.7	20.9	17.0	10.7	4.5	-1.2
青森県	十和田	31	0172	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0172&year=&month=&day=&view=	平年平均気温(℃)	9.8	-1.7	-1.3	2.2	8.0	13.4	16.8	20.6	22.1	18.5	12.3	6.3	0.6
青森県	鰺ケ沢	31	0163	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0163&year=&month=&day=&view=	平年平均気温(℃)	10.7	-0.2	0.1	3.0	8.2	13.2	17.1	21.3	22.8	19.3	13.4	7.6	2.1
青森県	碇ケ関	31	0175	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0175&year=&month=&day=&view=	平年平均気温(℃)	9.4	-3.0	-2.4	1.0	7.3	13.5	17.7	21.6	22.6	18.3	11.6	5.1	-0.6
青森県	黒石	31	0167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0167&year=&month=&day=&view=	平年平均気温(℃)	10.2	-1.8	-1.4	2.0	8.3	14.0	17.9	21.8	23.0	19.0	12.7	6.5	0.7
青森県	今別	31	1026	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1026&year=&month=&day=&view=	平年平均気温(℃)	10.0	-0.8	-0.4	2.5	7.7	12.4	16.0	20.3	22.1	18.9	13.0	7.0	1.4
青森県	三戸	31	0179	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0179&year=&month=&day=&view=	平年平均気温(℃)	10.2	-1.8	-1.2	2.4	8.5	14.2	18.0	21.8	22.9	18.8	12.1	6.0	0.6
青森県	小田野沢	31	1122	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1122&year=&month=&day=&view=	平年平均気温(℃)	9.5	-1.0	-0.7	2.3	7.2	11.5	14.7	18.9	21.2	18.7	12.9	6.8	1.2
青森県	六ケ所	31	1027	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1027&year=&month=&day=&view=	平年平均気温(℃)	9.4	-1.5	-1.2	1.9	7.3	12.1	15.4	19.4	21.3	18.4	12.6	6.5	0.8
青森県	脇野沢	31	1124	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1124&year=&month=&day=&view=	平年平均気温(℃)	10.0	-0.6	-0.4	2.5	7.4	12.1	15.9	20.0	21.9	18.9	13.2	7.3	1.7
青森県	大間	31	1041	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1041&year=&month=&day=&view=	平年平均気温(℃)	10.2	0.0	0.2	3.1	7.6	11.5	15.1	19.3	21.7	19.5	14.0	8.0	2.2
青森県	市浦	31	1119	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1119&year=&month=&day=&view=	平年平均気温(℃)	10.3	-0.6	-0.2	2.8	7.8	12.7	16.7	20.9	22.7	19.2	13.2	7.2	1.8
