Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
青森県	野辺地	31	0162	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0162&year=&month=&day=&view=	平年日照時間(時間)	1651.6	74.3	94.8	153.3	192.7	210.0	166.1	136.4	148.5	160.7	150.3	96.0	70.1
青森県	弘前	31	0166	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0166&year=&month=&day=&view=	平年日照時間(時間)	1585.1	44.3	65.7	119.5	182.9	204.4	182.3	159.3	184.5	158.3	140.8	90.0	52.9
青森県	蟹田	31	0160	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0160&year=&month=&day=&view=	平年日照時間(時間)	1597.5	54.3	78.8	139.0	191.9	199.4	170.7	136.4	164.0	166.0	153.3	89.7	54.1
青森県	五所川原	31	0164	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0164&year=&month=&day=&view=	平年日照時間(時間)	1497.4	22.7	49.4	115.7	179.6	202.4	181.2	160.5	184.7	160.2	134.2	74.7	32.0
青森県	三沢	31	0169	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0169&year=&month=&day=&view=	平年日照時間(時間)	1772.1	119.0	124.0	170.5	187.2	192.6	157.7	137.2	149.7	145.6	153.0	126.4	109.1
青森県	休屋	31	0177	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0177&year=&month=&day=&view=	平年日照時間(時間)	1423.0	49.2	67.5	115.7	163.0	190.3	159.2	125.6	146.3	134.3	131.8	88.9	51.4
青森県	十和田	31	0172	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0172&year=&month=&day=&view=	平年日照時間(時間)	1755.1	115.4	121.4	168.7	186.7	197.8	158.3	132.8	149.3	140.6	150.6	128.8	109.9
青森県	鰺ケ沢	31	0163	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0163&year=&month=&day=&view=	平年日照時間(時間)	1599.5	27.4	53.7	123.5	196.8	213.6	194.8	180.1	200.6	168.0	136.7	70.9	33.5
青森県	碇ケ関	31	0175	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0175&year=&month=&day=&view=	平年日照時間(時間)	1401.9	47.1	64.2	108.5	164.0	178.4	155.7	131.2	159.3	137.9	133.8	86.9	54.9
青森県	黒石	31	0167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0167&year=&month=&day=&view=	平年日照時間(時間)	1544.8	37.6	58.1	119.1	177.3	199.1	179.5	158.4	182.8	159.1	138.0	87.6	48.1
青森県	今別	31	1026	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1026&year=&month=&day=&view=	平年日照時間(時間)	1500.7	36.1	58.0	123.7	189.1	205.8	173.6	140.7	161.4	160.2	138.3	74.7	39.1
青森県	三戸	31	0179	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0179&year=&month=&day=&view=	平年日照時間(時間)	1694.7	102.3	105.3	153.5	181.5	190.7	157.6	136.5	152.7	141.2	148.9	121.9	102.6
青森県	小田野沢	31	1122	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1122&year=&month=&day=&view=	平年日照時間(時間)	1733.9	95.5	117.6	169.9	195.9	200.5	157.3	130.0	145.2	153.4	159.4	113.0	96.3
青森県	六ケ所	31	1027	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1027&year=&month=&day=&view=	平年日照時間(時間)	1645.6	70.7	90.8	159.4	194.6	201.4	161.3	131.9	149.7	158.1	158.6	106.3	70.2
