Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
青森県	野辺地	31	0162	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0162&year=&month=&day=&view=	平年降水量(mm)	1291.1	81.5	66.4	84.2	75.5	82.4	89.5	137.0	196.8	148.0	132.5	85.0	109.8
青森県	弘前	31	0166	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0166&year=&month=&day=&view=	平年降水量(mm)	1255.3	125.5	99.9	82.3	65.8	66.3	71.9	115.3	140.7	136.3	107.7	113.7	130.1
青森県	大鰐	31	0174	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0174&year=&month=&day=&view=	平年降水量(mm)	1309.8	81.1	73.4	83.9	89.5	64.8	81.5	140.0	178.1	150.0	133.5	112.5	121.7
青森県	蟹田	31	0160	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0160&year=&month=&day=&view=	平年降水量(mm)	1430.4	104.0	83.5	78.9	84.4	105.0	102.1	139.6	177.7	161.2	129.3	139.3	125.5
青森県	五所川原	31	0164	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0164&year=&month=&day=&view=	平年降水量(mm)	1280.4	120.7	81.9	64.1	62.6	69.2	74.9	113.3	139.2	133.9	131.3	147.8	141.5
青森県	三沢	31	0169	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0169&year=&month=&day=&view=	平年降水量(mm)	1110.2	51.7	45.7	58.2	62.4	88.2	105.8	143.0	156.4	164.0	105.6	68.1	61.2
青森県	休屋	31	0177	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0177&year=&month=&day=&view=	平年降水量(mm)	1559.5	66.1	68.8	92.7	108.1	118.1	121.5	211.7	220.2	177.7	152.5	127.5	94.8
青森県	十和田	31	0172	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0172&year=&month=&day=&view=	平年降水量(mm)	1031.1	37.8	35.2	50.5	59.7	80.5	94.3	146.0	159.8	159.9	108.8	58.6	51.2
青森県	鰺ケ沢	31	0163	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0163&year=&month=&day=&view=	平年降水量(mm)	1386.7	108.0	79.5	73.0	72.5	78.7	83.3	127.1	157.4	154.3	149.1	159.0	144.9
青森県	碇ケ関	31	0175	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0175&year=&month=&day=&view=	平年降水量(mm)	1620.8	112.0	101.1	110.8	111.0	106.0	97.3	164.0	209.4	163.1	137.4	157.6	141.7
青森県	黒石	31	0167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0167&year=&month=&day=&view=	平年降水量(mm)	1060.1	82.1	60.5	49.1	58.4	63.4	66.3	117.5	127.9	125.9	107.2	108.7	92.9
青森県	今別	31	1026	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1026&year=&month=&day=&view=	平年降水量(mm)	1619.8	137.0	103.1	98.1	98.5	105.6	86.6	129.4	191.9	167.2	159.0	176.4	167.0
青森県	三戸	31	0179	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0179&year=&month=&day=&view=	平年降水量(mm)	1131.1	49.4	49.1	63.3	65.0	81.9	96.4	161.4	160.3	159.4	114.0	66.1	64.8
青森県	小田野沢	31	1122	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1122&year=&month=&day=&view=	平年降水量(mm)	1317.7	75.2	61.7	71.8	76.5	100.1	112.8	147.0	179.4	172.7	127.0	98.6	90.0
青森県	大和山	31	1042	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1042&year=&month=&day=&view=	平年降水量(mm)	1768.6	171.9	125.0	107.3	93.2	97.0	101.3	140.2	172.4	193.8	171.3	174.5	195.4
青森県	温川	31	1406	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1406&year=&month=&day=&view=	平年降水量(mm)	1744.3	143.5	115.3	116.3	111.6	113.5	116.8	179.6	201.8	185.3	156.8	155.3	156.4
青森県	岳	31	1108	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1108&year=&month=&day=&view=	平年降水量(mm)	1710.3	149.1	131.5	101.2	92.8	97.5	90.3	139.2	178.4	170.7	175.7	184.4	174.1
青森県	六ケ所	31	1027	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1027&year=&month=&day=&view=	平年降水量(mm)	1410.6	106.4	81.0	74.2	68.4	93.8	108.4	151.4	176.8	169.8	130.6	105.0	125.4
青森県	脇野沢	31	1124	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1124&year=&month=&day=&view=	平年降水量(mm)	1326.7	108.6	75.1	68.6	74.4	92.3	93.5	133.0	176.0	152.6	107.7	123.3	121.8
青森県	大間	31	1041	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1041&year=&month=&day=&view=	平年降水量(mm)	1158.2	60.1	52.6	62.3	74.1	89.3	80.6	128.7	173.8	149.0	111.2	96.7	79.8
青森県	七戸	31	1183	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1183&year=&month=&day=&view=	平年降水量(mm)	1380.5	80.7	72.4	77.5	72.6	92.1	115.5	164.9	193.0	197.4	129.2	89.5	95.8
青森県	戸来	31	1272	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1272&year=&month=&day=&view=	平年降水量(mm)	1276.5	57.6	57.5	77.0	80.6	93.4	114.4	172.3	165.9	183.5	126.8	72.8	72.6
青森県	湯野川	31	1559	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1559&year=&month=&day=&view=	平年降水量(mm)	1729.4	144.4	106.3	110.5	110.6	106.1	88.2	132.4	203.7	167.0	163.3	204.5	191.9
青森県	市浦	31	1119	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1119&year=&month=&day=&view=	平年降水量(mm)	1402.4	117.6	83.9	76.1	77.9	94.3	84.8	118.4	166.6	154.8	137.9	154.8	135.6
青森県	青森大谷	31	1495	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1495&year=&month=&day=&view=	平年降水量(mm)	1192.7	87.4	66.2	54.7	73.0	64.2	72.0	130.9	142.5	141.0	132.1	130.1	110.2
青森県	酸ケ湯	31	1079	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=1079&year=&month=&day=&view=	平年降水量(mm)		117.7	80.1	82.4	106.0	117.0	136.1	178.1	211.0	223.0	218.0	195.6	167.7
秋田県	陣場	32	0181	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0181&year=&month=&day=&view=	平年降水量(mm)	2100.1	138.0	124.3	144.1	148.4	158.5	147.0	248.5	267.1	199.6	173.2	188.2	161.3
秋田県	鷹巣	32	0184	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0184&year=&month=&day=&view=	平年降水量(mm)	1704.7	116.7	92.4	97.0	103.4	116.3	119.8	214.7	198.1	164.7	162.7	167.8	151.4
秋田県	能代	32	0183	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0183&year=&month=&day=&view=	平年降水量(mm)	1494.4	114.8	86.0	79.5	86.3	105.5	100.2	162.5	155.9	154.6	147.7	157.5	143.9
秋田県	湯瀬	32	0186	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0186&year=&month=&day=&view=	平年降水量(mm)	1509.0	89.1	77.5	93.0	87.2	98.1	112.6	188.4	175.8	165.9	143.1	139.7	125.1
秋田県	大曲	32	0195	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0195&year=&month=&day=&view=	平年降水量(mm)	1819.4	150.7	111.0	105.9	99.3	113.8	128.8	212.1	212.4	166.4	158.6	183.6	175.3
秋田県	五城目	32	0188	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0188&year=&month=&day=&view=	平年降水量(mm)	1665.0	131.5	101.2	92.7	94.0	109.4	107.4	191.8	174.4	163.5	164.0	176.1	159.1
秋田県	田沢湖	32	0194	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0194&year=&month=&day=&view=	平年降水量(mm)	2180.4	132.4	118.0	149.1	153.0	165.9	161.7	290.5	280.8	193.2	179.5	190.1	166.0
秋田県	岩見三内	32	0192	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0192&year=&month=&day=&view=	平年降水量(mm)	2052.9	141.8	120.3	119.7	129.1	149.2	156.8	258.1	230.4	184.1	189.6	198.5	175.6
秋田県	角館	32	0193	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0193&year=&month=&day=&view=	平年降水量(mm)	2158.4	171.6	140.5	135.7	129.1	148.7	152.3	273.6	254.9	180.5	171.5	202.5	197.8
秋田県	横手	32	0198	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0198&year=&month=&day=&view=	平年降水量(mm)	1737.3	184.1	119.5	95.4	85.3	100.1	113.8	194.4	183.6	136.6	144.6	174.1	206.0
秋田県	本荘	32	0196	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0196&year=&month=&day=&view=	平年降水量(mm)	1838.7	153.7	106.5	105.0	101.6	112.6	119.7	190.2	202.4	180.4	189.9	217.0	190.1
秋田県	鹿角	32	0185	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0185&year=&month=&day=&view=	平年降水量(mm)	1454.1	79.4	68.7	84.1	89.2	93.1	108.3	200.6	190.4	149.3	138.8	136.0	116.3
秋田県	にかほ	32	0199	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0199&year=&month=&day=&view=	平年降水量(mm)	1567.9	126.8	87.6	90.3	86.4	93.8	105.9	166.5	160.1	152.4	166.5	175.3	169.8
秋田県	矢島	32	0200	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0200&year=&month=&day=&view=	平年降水量(mm)	2250.8	234.5	158.6	142.8	113.5	109.2	127.5	196.8	191.5	179.0	217.0	287.0	293.5
秋田県	湯沢	32	0202	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0202&year=&month=&day=&view=	平年降水量(mm)	1567.4	155.8	94.2	80.8	69.8	86.6	104.9	172.8	166.1	137.6	141.2	164.2	189.0
秋田県	大館	32	0912	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0912&year=&month=&day=&view=	平年降水量(mm)	1741.0	108.2	92.6	106.1	118.5	126.4	121.6	216.6	214.0	164.8	163.2	162.0	139.2
秋田県	比立内	32	1115	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1115&year=&month=&day=&view=	平年降水量(mm)	2419.8	217.8	168.5	165.4	148.4	138.6	147.6	248.5	260.1	208.9	210.2	252.5	257.1
秋田県	東成瀬	32	1109	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1109&year=&month=&day=&view=	平年降水量(mm)	1927.7	214.6	136.1	110.8	91.4	102.9	121.3	204.8	192.4	156.9	161.1	191.5	240.8
秋田県	湯の岱	32	0204	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=0204&year=&month=&day=&view=	平年降水量(mm)	2104.2	197.8	135.8	142.5	124.2	128.6	139.9	237.5	210.2	179.4	177.7	201.4	229.2
秋田県	男鹿	32	1036	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1036&year=&month=&day=&view=	平年降水量(mm)	1612.9	123.4	93.3	93.5	96.1	107.2	102.3	176.2	153.4	159.5	165.9	167.0	168.5
秋田県	八森	32	1043	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1043&year=&month=&day=&view=	平年降水量(mm)	1501.6	91.2	68.9	83.2	95.8	119.8	106.0	172.2	170.8	155.2	158.3	152.7	127.5
秋田県	大潟	32	1035	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1035&year=&month=&day=&view=	平年降水量(mm)	1430.6	101.3	81.1	82.3	82.8	91.3	95.6	153.5	145.9	154.1	155.1	164.6	139.0
秋田県	鎧畑	32	1167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1167&year=&month=&day=&view=	平年降水量(mm)	2354.1	159.4	138.9	161.0	149.8	169.0	171.0	312.1	306.3	200.6	183.3	201.5	188.0
秋田県	阿仁合	32	1131	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1131&year=&month=&day=&view=	平年降水量(mm)	2099.7	164.3	125.0	132.0	131.8	133.9	136.6	233.8	240.0	193.9	191.2	218.0	199.3
秋田県	藤里	32	1273	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1273&year=&month=&day=&view=	平年降水量(mm)	2080.9	131.9	118.8	121.2	142.2	161.0	151.1	275.6	245.2	202.6	180.7	196.9	162.3
秋田県	大正寺	32	1050	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1050&year=&month=&day=&view=	平年降水量(mm)	2089.0	169.7	121.0	115.4	117.4	130.0	148.1	229.6	226.2	193.9	198.0	227.0	212.9
秋田県	東由利	32	1117	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1117&year=&month=&day=&view=	平年降水量(mm)	2162.9	255.7	167.7	131.5	106.5	113.7	127.6	196.5	193.7	167.1	192.4	242.2	268.3
秋田県	八幡平	32	1289	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1289&year=&month=&day=&view=	平年降水量(mm)	2155.4	169.0	133.5	146.1	128.9	123.2	129.5	230.4	230.9	200.9	211.8	229.4	221.8
秋田県	桧木内	32	1278	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1278&year=&month=&day=&view=	平年降水量(mm)	2469.7	170.6	148.1	176.2	167.2	174.5	171.5	302.2	310.4	212.5	195.6	227.5	215.2
秋田県	笹子	32	1407	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1407&year=&month=&day=&view=	平年降水量(mm)	2387.7	306.2	216.4	168.9	117.3	112.5	123.3	214.8	214.3	167.3	183.1	246.3	330.1
秋田県	男鹿真山	32	1422	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1422&year=&month=&day=&view=	平年降水量(mm)	1768.4	135.1	108.8	110.1	105.9	119.1	122.4	178.8	168.2	174.4	178.4	188.6	181.4
秋田県	藤原	32	1408	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1408&year=&month=&day=&view=	平年降水量(mm)	1708.2	93.4	84.4	100.4	115.6	124.6	127.8	224.4	229.6	177.0	150.5	142.5	114.9
秋田県	仁別	32	1425	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1425&year=&month=&day=&view=	平年降水量(mm)	2286.0	156.8	132.2	134.4	147.7	170.1	173.9	295.5	242.5	199.3	207.8	224.2	194.8
秋田県	脇神	32	1463	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1463&year=&month=&day=&view=	平年降水量(mm)	1603.1	81.1	72.7	92.7	109.5	100.7	112.8	211.9	211.5	165.6	160.6	169.0	130.2
秋田県	雄和	32	1511	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=32&block_no=1511&year=&month=&day=&view=	平年降水量(mm)	1862.0	120.1	97.0	105.9	118.6	117.0	133.0	225.7	207.2	176.3	184.8	205.7	170.7
岩手県	二戸	33	0207	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=33&block_no=0207&year=&month=&day=&view=	平年降水量(mm)	1033.9	39.8	39.4	52.8	55.3	74.9	87.0	159.6	154.0	144.3	104.6	64.3	59.7
