Prefecture	Municipality	prec_no	block_no	URL	平年降水量(mm)	平年平均気温(℃)	平年日最高気温(℃)	平年日最低気温(℃)	平年日照時間(時間)	平年降雪量(cm)	歴代最高気温(℃)	歴代最低気温(℃)	歴代最大降雪量(cm)
青森県	障子山	31	0158	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0158&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	むつ	31	47576	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=31&block_no=47576&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	蟹田	31	0160	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0160&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	青森	31	47575	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=31&block_no=47575&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	野辺地	31	0162	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0162&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	鰺ケ沢	31	0163	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0163&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	五所川原	31	0164	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0164&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	深浦	31	47574	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=31&block_no=47574&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	弘前	31	0166	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0166&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	黒石	31	0167	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0167&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	八甲田山	31	0168	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0168&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	三沢	31	0169	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0169&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	四兵衛森	31	0170	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0170&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	毛無山	31	0171	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0171&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	十和田	31	0172	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0172&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	八戸	31	47581	https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_ym.php?prec_no=31&block_no=47581&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	大鰐	31	0174	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0174&year=&month=&day=&view=	true	false	false	false	false	false	false	false	false
青森県	碇ケ関	31	0175	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0175&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	空岱山	31	0176	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0176&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
青森県	休屋	31	0177	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0177&year=&month=&day=&view=	true	true	true	true	true	false	false	false	false
青森県	朝日奈岳	31	0178	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=31&block_no=0178&year=&month=&day=&view=	false	false	false	false	false	false	false	false	false
